"Nr. crt.","Regiune","Județ","Legislație/Mecanism finanțare","Autoritatea finanțatoare","Local/ central","Domeniu","An","Lista ONG","Suma","Contact ONG-WEBSITE","","{=INDEX(Autoritatea finanțatoare,MATCH(0,COUNTIF($D$4:D4,list),0))}"
"161","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2016","ACS Șah Club Vados","20,000","","",""
"162","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2016","Club Sportiv „ATLETICO” Arad","23,000","","",""
"163","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2016","Club Sportiv Urania Arad","31,000","","",""
"164","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2016","Club Sportiv Naţional Sebiş","62,000","","",""
"165","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Protecţia mediului","2016","Asociaţia Activ pentru Comunitate","4,000","http://www.activpentrucomunitate.ro/","",""
"166","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Protecţia mediului","2016","Asociaţia pentru Promovarea Valorilor Naturale şi Culturale ale Banatului şi Crişanei „Excelsior”","6,000","http://www.ongexcelsior.ro/","",""
"167","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Protecţia mediului","2016","Asociaţia Profesorilor de Educaţie Fizică şi Sport din judeţul Arad","3,000","http://www.apefsarad.com/","",""
"168","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Protecţia mediului","2016","Clubul de Turism Condor Club Arad","7,000","http://condorclub.ro/","",""
"169","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2016","Asociaţia Club Sportiv Pro Volei Arad","5,400","","",""
"170","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2016","Asociaţia Club Sportiv Pro Volei Arad","5,069","","",""
"171","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2016","Asociaţia Judeţeană de Fotbal Arad","129,000","http://www.ajfarad.ro/","",""
"172","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2017","Asociaţia „IR33 – Cetatea Aradului”","7,000","","",""
"173","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2017","Asociaţia „Junii Şimăndani”","5,000","","",""
"174","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2017","Asociaţia pentru Conservarea Culturii în Mediul Rural","16,000","","",""
